Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2017,Moldova,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,5.83799982070923
2017,Romania,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,5.82499980926514
2017,Bolivia,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,5.82299995422363
2017,Turkmenistan,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,5.82200002670288
2017,Kazakhstan,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,5.81899976730347
2017,North Cyprus,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,5.80999994277954
2017,Slovenia,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,5.75799989700317
2017,Peru,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,5.71500015258789
2017,Mauritius,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,5.62900018692017
2017,Cyprus,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,5.62099981307983
2017,Estonia,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,5.61100006103516
2017,Belarus,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,5.56899976730347
2017,Libya,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,5.52500009536743
2017,Turkey,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,5.5
2017,Paraguay,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,5.49300003051758
2017,"Hong Kong S.A.R., China",1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,5.47200012207031
2017,Philippines,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,5.42999982833862
2017,Serbia,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,5.39499998092651
2017,Jordan,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,5.33599996566772
2017,Hungary,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,5.32399988174438
2017,Jamaica,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,5.31099987030029
2017,Croatia,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,5.29300022125244
2017,Kosovo,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,5.27899980545044
2017,China,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,5.27299976348877
2017,Pakistan,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,5.26900005340576
2017,Indonesia,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,5.26200008392334
2017,Venezuela,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,5.25
